Species,BARI,BLASTOPIA,BS,COPIA2,COPIA,Copia1,DM1731,DM412,DMCR1A,DOC,FW3,FW,G2,G4,G5,GYPSY4,GYPSY6,GYPSY,Gypsy1,Gypsy2,HELENA,INVADER2,INVADER6,IVK,I,Jockey,LOOPER1,MAX,MICROPIA,QUASIMODO,R12,R1,ROO,STALKER4,S,TC12,TRANSPAC
D.sproati,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D.sturtevanti,NA,NA,0,NA,5,1,0,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,NA,NA,4,1,NA
D.subobscura,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA
D.subpulchrella.L1,5,NA,NA,0,171,NA,0,NA,285,NA,NA,3,NA,1,NA,0,NA,1,219,NA,NA,1,NA,41,44,9,NA,8,NA,NA,0,27,NA,NA,NA,0,NA
D.sucinea,NA,NA,4,NA,1,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA
D.takahashii,NA,NA,NA,0,33,NA,0,NA,261,NA,NA,NA,NA,NA,NA,NA,319,NA,280,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA
D.teissieri.2733,NA,NA,39,NA,21,1393,0,732,741,15046,NA,823,410,39,NA,NA,3360,659,2752,NA,49,NA,NA,NA,194,NA,NA,20552,230,NA,NA,225,19549,1457,NA,128,NA
D.teissieri.CT02,NA,NA,35,NA,19,1408,0,622,400,15275,NA,819,422,35,NA,150,3322,675,2751,NA,49,NA,NA,NA,214,NA,NA,20731,229,NA,NA,226,14997,1457,NA,126,NA
D.triauraria,17,NA,NA,NA,168,NA,NA,NA,5,NA,NA,0,NA,NA,NA,NA,NA,NA,50,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,45,56,NA,NA,NA,156
D.tristis,NA,NA,NA,NA,0,NA,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,130,NA,NA,NA
D.tropicalis,NA,0,4,0,1,NA,0,NA,0,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,2,NA,4,NA,NA
D.varians,18,NA,NA,NA,NA,NA,NA,118,25,NA,NA,NA,NA,NA,0,NA,NA,NA,205,NA,NA,NA,NA,NA,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D.virilis,0,NA,NA,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,4,NA,NA,1,NA,NA,NA,2,2,NA,NA,NA,0,0,NA,NA,153,NA,NA,NA
D.willistoni.00,NA,NA,NA,NA,2,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,0,NA,NA,NA,4,NA,NA
D.willistoni.17,NA,NA,4,0,2,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,0,NA,2,267,4,NA,NA
D.yakuba,NA,NA,26,NA,NA,1476,0,572,311,14695,NA,826,368,32,NA,180,3371,644,2524,NA,35,NA,NA,372,180,NA,NA,18062,138,NA,NA,221,21770,2520,NA,NA,NA
L.clarofinis,12,NA,NA,0,20,5,0,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA
L.collinella,21,NA,NA,6,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,0
L.magnipectinata,NA,NA,NA,0,6,15,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA
L.mommai,NA,NA,NA,4,3,0,3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,0,NA
L.stackelbergi,69,NA,NA,0,31,15,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,2,NA,NA,NA,NA,NA
L.varia,NA,NA,NA,0,0,NA,NA,NA,NA,12480,NA,NA,0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA
S.graminum,NA,NA,NA,0,0,0,3,NA,NA,NA,0,0,NA,NA,1,NA,NA,8,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
S.hsui,8,NA,49,0,9,0,0,NA,1,NA,2,30,0,1,10,61,NA,3,NA,NA,0,NA,NA,NA,0,25,NA,NA,NA,7,1,1,NA,NA,NA,23,NA
S.montana,17,NA,9,0,8,0,NA,NA,NA,0,0,0,NA,3,0,53,NA,5,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,4,NA,NA,NA,4,0,4
S.pallida,NA,NA,NA,0,7,4,0,NA,NA,1,1,6,6,NA,50,NA,NA,8,NA,NA,0,NA,NA,NA,0,25,NA,NA,NA,NA,0,NA,NA,NA,3,3,NA
Z.africanus,NA,NA,854,NA,784,0,0,NA,285,12328,NA,929,0,NA,2,48,NA,497,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,271,16,4,NA,NA,2232,NA,NA,NA
Z.camerounensis,5,NA,NA,NA,884,1067,0,1473,NA,4666,NA,15,NA,NA,3,54,NA,466,NA,NA,99,142,1,NA,NA,NA,NA,NA,261,NA,4,NA,NA,NA,NA,NA,NA
Z.capensis,NA,NA,166,NA,461,0,0,1437,NA,4733,0,2,NA,33,3,59,NA,564,NA,NA,NA,146,NA,NA,NA,NA,NA,NA,833,NA,2,NA,NA,NA,NA,NA,NA
Z.davidi,NA,NA,165,NA,14,0,NA,NA,NA,3205,NA,1188,NA,NA,NA,1779,NA,484,NA,NA,NA,137,NA,NA,NA,59,NA,NA,544,3,NA,NA,NA,2620,1,NA,NA
Z.gabonicus,NA,NA,469,0,710,0,0,1549,285,NA,NA,470,0,NA,3,1411,NA,517,NA,NA,39,NA,NA,NA,0,NA,NA,NA,247,0,6,NA,NA,2897,2,NA,NA
Z.ghesquierei,NA,NA,NA,1,0,1161,NA,NA,5,NA,NA,219,0,43,132,1815,NA,152,1579,NA,336,71,NA,NA,NA,66,148,NA,321,NA,7,NA,NA,NA,NA,NA,NA
Z.indianus.16GNV01,NA,NA,NA,NA,705,0,0,1319,285,NA,NA,394,714,NA,3,NA,NA,375,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,247,NA,6,NA,NA,2664,2,NA,NA
Z.indianus.BS02,NA,NA,NA,2,NA,0,0,1405,285,NA,83,479,1635,NA,3,1374,NA,539,NA,NA,40,NA,3999,NA,0,NA,NA,NA,247,1,6,NA,NA,2620,2,NA,NA
Z.indianus.CDD18,NA,NA,NA,0,495,0,0,1510,285,NA,122,480,234,NA,3,1147,NA,512,NA,NA,40,NA,NA,NA,0,NA,NA,NA,254,0,5,NA,NA,2844,2,NA,NA
